ep_rank,driver,car_number,team,organization,make,start,expected_points,prob_Win,prob_Top5,prob_Top10,prob_Top20,prob_Made,prob_DNF,driver_elo,track_type_elo,rolling_sf_delta,org_rating,qual_diff
1,William Byron,24,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,1,7.012,0.4547,0.1812,0.1641,0.1005,0.0746,0.0249,1500.65,1513.92,-1.0,25.2,18.0
2,Joey Logano,22,Team Penske,Team Penske,Ford,4,6.971,0.4754,0.1315,0.1825,0.0992,0.0862,0.0252,1506.36,1513.08,10.17,24.04,15.0
3,Christopher Bell,20,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,12,6.812,0.4015,0.232,0.1624,0.1041,0.0487,0.0513,1511.22,1512.51,-1.33,28.38,7.0
4,Kyle Larson,5,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,3,6.787,0.334,0.3315,0.1425,0.124,0.0423,0.0258,1500.67,1512.26,0.67,25.2,16.0
5,Denny Hamlin,11,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,5,6.695,0.2808,0.3898,0.1662,0.092,0.051,0.0202,1501.76,1508.42,-5.5,28.38,14.0
6,Chase Briscoe,19,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,9,5.876,0.2254,0.2683,0.25,0.1376,0.0803,0.0383,1515.44,1509.36,7.5,28.38,10.0
7,Chase Elliott,9,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,8,5.499,0.1351,0.2491,0.3637,0.1792,0.0478,0.025,1491.65,1512.77,-6.5,25.2,11.0
8,Ty Gibbs,54,Joe Gibbs Racing,Joe Gibbs Racing,Toyota,2,5.293,0.0567,0.4266,0.2291,0.1711,0.0825,0.0341,1514.16,1493.02,-2.83,28.38,17.0
9,Ryan Preece,60,RFK Racing,RFK Racing,Ford,18,4.191,0.1083,0.1417,0.1907,0.3284,0.1777,0.0532,1505.82,1506.93,0.5,25.06,1.0
10,Ryan Blaney,12,Team Penske,Team Penske,Ford,31,4.131,0.0862,0.223,0.1972,0.1919,0.1458,0.1558,1502.39,1515.55,6.83,24.04,-12.0
11,Brad Keselowski,6,RFK Racing,RFK Racing,Ford,19,4.007,0.0839,0.1545,0.2031,0.2981,0.1763,0.0841,1509.71,1500.63,2.33,25.06,0.0
12,Bubba Wallace,23,23XI Racing,23XI Racing,Toyota,21,3.982,0.0631,0.2252,0.1931,0.2154,0.1621,0.1411,1513.17,1499.05,-5.33,21.09,-2.0
13,Tyler Reddick,45,23XI Racing,23XI Racing,Toyota,14,3.855,0.0636,0.1615,0.1963,0.3225,0.1388,0.1173,1512.11,1501.21,-7.67,21.09,5.0
14,Michael McDowell,71,Spire Motorsports,Spire Motorsports,Chevrolet,11,3.709,0.0564,0.1289,0.1814,0.3845,0.1828,0.066,1505.28,1511.18,-5.5,20.23,8.0
15,Ross Chastain,1,Trackhouse Racing,Trackhouse Racing,Chevrolet,13,3.639,0.0677,0.107,0.1563,0.4211,0.1686,0.0793,1507.62,1510.86,6.33,22.04,6.0
16,Austin Cindric,2,Team Penske,Team Penske,Ford,10,3.49,0.0369,0.0953,0.2192,0.3777,0.2251,0.0459,1494.96,1505.4,-1.33,24.04,9.0
17,Alex Bowman,48,Hendrick Motorsports,Hendrick Motorsports,Chevrolet,17,3.446,0.0609,0.0652,0.1968,0.395,0.2118,0.0702,1497.92,1505.45,-1.33,25.2,2.0
18,Carson Hocevar,77,Spire Motorsports,Spire Motorsports,Chevrolet,15,3.435,0.0419,0.0952,0.2143,0.3625,0.1914,0.0948,1513.19,1508.72,-0.83,20.23,4.0
19,Austin Dillon,3,Richard Childress Racing,Richard Childress Racing,Chevrolet,20,3.379,0.0913,0.1002,0.1627,0.2218,0.2854,0.1386,1499.07,1507.32,7.17,20.57,-1.0
20,Todd Gilliland,34,Front Row Motorsports,Front Row Motorsports,Ford,16,2.898,0.0375,0.0625,0.1617,0.3433,0.2468,0.1483,1514.07,1504.58,4.83,18.31,3.0
21,Kyle Busch,8,Richard Childress Racing,Richard Childress Racing,Chevrolet,7,2.864,0.0242,0.0684,0.1447,0.3704,0.3084,0.0839,1503.89,1496.04,6.5,20.57,12.0
22,Cole Custer,41,Haas Factory Team,Haas Factory Team,Ford,6,2.836,0.021,0.04,0.2214,0.3121,0.3032,0.1023,1514.3,1500.73,-0.5,17.26,13.0
23,Shane van Gisbergen,88,Trackhouse Racing,Trackhouse Racing,Chevrolet,22,2.809,0.0142,0.0596,0.2002,0.3149,0.3038,0.1072,1509.86,1494.91,-7.17,22.04,-3.0
24,A.J. Allmendinger,16,Kaulig Racing,Kaulig Racing,Chevrolet,33,2.467,0.0355,0.0369,0.079,0.3712,0.3443,0.133,1492.92,1502.66,-15.33,18.94,-14.0
25,Chris Buescher,17,RFK Racing,RFK Racing,Ford,29,2.447,0.0314,0.0498,0.0764,0.3388,0.3866,0.117,1498.01,1504.12,-0.67,25.06,-10.0
